Cabinet_Id,Address,Postcode,Attributes,State,PhoneNumber,id
08835222X2,"  88 AIRPORT RD NR MARSHALL TCE, BROOKLYN PARK",5032,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",SA," PH:0883523854",152876
08872521X2,"  80 ACACIA ST , MT GAMBIER",5290,"Coin and Card Payphone,Incoming Calls",SA," PH:0887256054",152877
07326614X2,"  31 ACACIA AVE CNR STATION AVE, NORTHGATE",4013,"Coin and Card Payphone,Incoming Calls",QLD," PH:0732666619",152878
03979146X2,"  1 ACER ST NR POWER RD, DOVETON",3177,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",VIC," PH:0397917437",152879
03933599X2,"FLR 1 5 AIRPORT DRV STH TERM GATE 6, MELBOURNE AIRPORT",3045,"Coin and Card Payphone,Incoming Calls",VIC," PH:0393354345",152880
03932928X2,"  197 ADDERLEY ST NR HAWKE ST, WEST MELBOURNE",3003,"Coin and Card Payphone,Incoming Calls",VIC," PH:0393299706",152881
02931392X2,"  9 ADDISON ST NR ANZAC PDE, KENSINGTON",2033,"Coin and Card Payphone,Incoming Calls",NSW," PH:0293136631",152882
02429710X2,"  74 ADDISON AVE OS SHOPS, LAKE ILLAWARRA",2528,"Coin and Card Payphone,Incoming Calls",NSW," PH:0242972389",152883
02956907X2,"  163 ADDISON ST NR EAST ST, MARRICKVILLE",2204,"Coin and Card Payphone,Incoming Calls",NSW," PH:0295691339",152884
02955030X2,"  13 ADDISON RD NR ENMORE RD, MARRICKVILLE",2204,"Coin and Card Payphone,Incoming Calls",NSW," PH:0295503605",152885
08844733X2,"  41 ADDISON RD NEAR, PENNINGTON",5013,"Coin and Card Payphone,Incoming Calls",SA," PH:0884475898",152886
02956009X2,"  279 ADDISON RD NEAR AUDLEY ST, PETERSHAM",2049,"Coin and Card Payphone,Incoming Calls",NSW," PH:0295602882",152887
02429601X2,"  18 ADDISON ST OS POST OFFICE, SHELLHARBOUR",2529,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",NSW," PH:0242964521",152888
02636820X2,"  64 ADELAIDE ST NR BURNS ST, BLAYNEY",2799,"Coin and Card Payphone,Incoming Calls,WIFI Hotspot",NSW," PH:0263682001",152889
02636822X2,"  130 ADELAIDE ST NR OGILVY ST, BLAYNEY",2799,"Coin and Card Payphone,Incoming Calls",NSW," PH:0263682304",152890
07465632X9,"  0 ADELAIDE ST NR FREW ST, BIRDSVILLE",4482,"Coin and Card Payphone,Incoming Calls",QLD," PH:0746563215",152891
07465632X2,"  0 ADELAIDE ST NR FREW ST, BIRDSVILLE",4482,"Coin and Card Payphone,Incoming Calls",QLD," PH:0746563218",152892
07465600X2,"  0 ADELAIDE ST NR FREW ST, BIRDSVILLE",4482,"Coin and Card Payphone,Incoming Calls",QLD," PH:0746563260",152893
